Trace,IPC,Instructions,Accuracy(%),MPKI,Mispredictions
600.perlbench_s-1273B,2.143,10000000,97.65,3.157,31570
602.gcc_s-1850B,0.2392,10000001,92.26,19.86,198600
603.bwaves_s-2931B,0.8731,10000000,80.62,1.635,16350
605.mcf_s-1536B,0.2367,10000003,99.97,0.0457,457
607.cactuBSSN_s-2421B,1.681,10000003,91.35,0.7878,7878
619.lbm_s-2676B,0.4516,10000004,95.39,0.8059,8059
620.omnetpp_s-141B,0.2481,10000002,93.12,14.45,144500
621.wrf_s-575B,1.169,10000003,93.05,9.314,93140
623.xalancbmk_s-165B,0.5,10000000,96.52,9.705,97050
625.x264_s-12B,2.283,10000000,88.43,2.904,29040
627.cam4_s-490B,0.9057,10000000,88.04,11.35,113500
628.pop2_s-17B,1.234,10000002,96.45,4.06,40600
631.deepsjeng_s-928B,1.1,10000000,89.97,15.03,150300
638.imagick_s-10316B,3.343,10000003,99.7,0.313,3130
641.leela_s-149B,0.9362,10000001,87.18,21.14,211400
644.nab_s-12459B,1.397,10000000,91.3,12.51,125100
648.exchange2_s-387B,1.153,10000002,83.37,23.79,237900
649.fotonik3d_s-1176B,0.4081,10000000,99.97,0.0044,44
654.roms_s-293B,1.019,10000000,99.78,0.0331,331
657.xz_s-4994B,1.41,10000000,85.96,14.8,148000
