Trace,IPC,Instructions,Accuracy(%),MPKI,Mispredictions
600.perlbench_s-1273B,2.244,10000000,98.31,2.277,22770
602.gcc_s-1850B,0.2745,10000001,96.45,9.097,90970
603.bwaves_s-2931B,0.8907,10000000,96.75,0.2747,2747
605.mcf_s-1536B,0.2369,10000003,99.98,0.0315,315
607.cactuBSSN_s-2421B,1.682,10000003,89.27,0.9771,9771
619.lbm_s-2676B,0.4519,10000004,97.17,0.495,4950
620.omnetpp_s-141B,0.2413,10000002,92.23,16.31,163100
621.wrf_s-575B,1.201,10000003,94.37,7.544,75440
623.xalancbmk_s-165B,0.4661,10000000,95.55,12.4,124000
625.x264_s-12B,2.466,10000000,95.21,1.201,12010
627.cam4_s-490B,1.025,10000000,93.94,5.759,57590
628.pop2_s-17B,1.244,10000002,96.75,3.709,37090
631.deepsjeng_s-928B,1.073,10000004,89.31,16.02,160200
638.imagick_s-10316B,3.343,10000003,99.69,0.3161,3161
641.leela_s-149B,0.9201,10000001,86.7,21.94,219400
644.nab_s-12459B,1.796,10000000,95.26,6.821,68210
648.exchange2_s-387B,1.681,10000002,91.93,11.54,115400
649.fotonik3d_s-1176B,0.4081,10000000,99.96,0.0066,66
654.roms_s-293B,1.017,10000000,99.72,0.0429,429
657.xz_s-4994B,1.254,10000000,82.1,18.87,188700
