Trace,IPC,Instructions,Accuracy(%),MPKI,Mispredictions
600.perlbench_s-1273B,2.246,10000000,98.32,2.265,22650
602.gcc_s-1850B,0.2744,10000001,96.49,8.997,89970
603.bwaves_s-2931B,0.8907,10000000,96.75,0.2747,2747
605.mcf_s-1536B,0.2371,10000003,99.98,0.0293,293
607.cactuBSSN_s-2421B,1.682,10000003,91.46,0.7777,7777
619.lbm_s-2676B,0.4516,10000004,97.05,0.5165,5165
620.omnetpp_s-141B,0.2424,10000002,92.83,15.07,150700
621.wrf_s-575B,1.2,10000003,93.9,8.179,81790
623.xalancbmk_s-165B,0.5,10000000,96.52,9.706,97060
625.x264_s-12B,2.504,10000000,96.33,0.9206,9206
627.cam4_s-490B,1.036,10000000,94.48,5.245,52450
628.pop2_s-17B,1.255,10000002,96.97,3.465,34650
631.deepsjeng_s-928B,1.18,10000000,91.69,12.46,124600
638.imagick_s-10316B,3.343,10000003,99.7,0.3142,3142
641.leela_s-149B,1.008,10000001,89.08,18.01,180100
644.nab_s-12459B,1.627,10000000,93.75,8.989,89890
648.exchange2_s-387B,1.644,10000002,91.35,12.37,123700
649.fotonik3d_s-1176B,0.4081,10000000,99.97,0.0044,44
654.roms_s-293B,1.018,10000000,99.67,0.0506,506
657.xz_s-4994B,1.403,10000000,85.76,15.01,150100
