Trace,IPC,L2_Accesses,L2_Misses,L2_MissRate(%)
600.perlbench_s-1273B,2.038,995,769,77.29
602.gcc_s-1850B,0.2394,123475,91104,73.78
603.bwaves_s-2931B,0.8724,117356,74864,63.79
605.mcf_s-1536B,0.2392,572463,334683,58.46
607.cactuBSSN_s-2421B,1.699,532211,31108,5.85
619.lbm_s-2676B,0.4506,714437,241793,33.84
620.omnetpp_s-141B,0.2324,206623,116076,56.18
621.wrf_s-575B,1.167,51,51,100.00
623.xalancbmk_s-165B,0.4728,95426,95355,99.93
625.x264_s-12B,2.113,5095,5094,99.98
627.cam4_s-490B,0.8302,126661,64977,51.30
628.pop2_s-17B,1.211,150226,45679,30.41
631.deepsjeng_s-928B,1.045,13737,4066,29.60
638.imagick_s-10316B,3.347,44588,204,0.46
641.leela_s-149B,1.011,30058,950,3.16
644.nab_s-12459B,1.366,33222,4602,13.85
648.exchange2_s-387B,1.152,ERR,ERR,ERR
649.fotonik3d_s-1176B,0.4582,110903,48361,43.61
654.roms_s-293B,1.028,96119,57651,59.98
657.xz_s-4994B,1.421,1682,662,39.36
