Trace,IPC,L2_Accesses,L2_Misses,L2_MissRate(%)
600.perlbench_s-1273B,2.038,995,769,77.29
602.gcc_s-1850B,0.2398,123475,91251,73.90
603.bwaves_s-2931B,0.8688,117379,93686,79.81
605.mcf_s-1536B,0.2447,574007,316601,55.16
607.cactuBSSN_s-2421B,1.656,532320,110022,20.67
619.lbm_s-2676B,0.4422,714413,586218,82.06
620.omnetpp_s-141B,0.2354,206621,133757,64.74
621.wrf_s-575B,1.167,51,51,100.00
623.xalancbmk_s-165B,0.6299,95426,77143,80.84
625.x264_s-12B,2.113,5095,5094,99.98
627.cam4_s-490B,0.8361,126666,84916,67.04
628.pop2_s-17B,1.212,150220,44989,29.95
631.deepsjeng_s-928B,1.045,13737,4095,29.81
638.imagick_s-10316B,3.347,44588,204,0.46
641.leela_s-149B,1.011,30058,943,3.14
644.nab_s-12459B,1.373,33223,2917,8.78
648.exchange2_s-387B,1.152,ERR,ERR,ERR
649.fotonik3d_s-1176B,0.4763,110903,72870,65.71
654.roms_s-293B,1.069,96129,74370,77.36
657.xz_s-4994B,1.421,1682,662,39.36
